,start,stop,AUC,fpr,tpr,support,cm,fold,# support,condition,cm_,tnr,fnr
14,300,350,0.36,0.6,0.6,"[ 0  3  5 10 12 16 17 18 20 23 28 31 33 35 39 43  2  6  8 15 19 21 22 26
 29 30 32 40 41]","[[2 3]
 [2 3]]",4,29,shuffle1,"[[0.4 0.6]
 [0.4 0.6]]",0.4,0.4
0,200,250,0.6666666666666667,1.0,0.6666666666666666,"[ 0  2  6  7 13 14 15 17 20 21 25 26 29 30 36 38 39  1  3  4  8  9 10 16
 18 22 23 27 28 31 32 34 35 37 40]","[[0 6]
 [2 4]]",0,35,shuffle2,"[[0.         1.        ]
 [0.33333333 0.66666667]]",0.0,0.3333333333333333
1,200,250,0.5833333333333333,0.3333333333333333,0.3333333333333333,"[ 0  2  5  9 11 12 13 14 15 17 20 26 30 31 33 38 39  1  4  6  7  8 16 19
 21 23 28 29 34 35 37 40 41]","[[4 2]
 [4 2]]",1,33,shuffle2,"[[0.66666667 0.33333333]
 [0.66666667 0.33333333]]",0.6666666666666666,0.6666666666666666
2,200,250,1.0,0.6,0.0,"[ 0  5  8  9 10 11 12 15 17 23 24 25 28 29 33 36 40 41  2  6  7 16 21 22
 26 27 31 32 35 37 39 42 43]","[[2 3]
 [5 0]]",2,33,shuffle2,"[[0.4 0.6]
 [1.  0. ]]",0.4,1.0
3,200,250,0.76,1.0,0.4,"[ 0  2  6  7 11 12 14 15 16 17 19 22 24 25 29 33 34 37 38 41  1  4  9 18
 21 23 26 28 31 32 35 36 39 40 42 43]","[[0 5]
 [3 2]]",3,36,shuffle2,"[[0.  1. ]
 [0.6 0.4]]",0.0,0.6
4,200,250,0.52,0.6,0.8,"[ 0  3  5  6  7  8 10 12 14 16 22 26 31 32 35 40 41  1  2  4  9 13 19 24
 25 28 29 30 33 34 36 37 39 42 43]","[[2 3]
 [1 4]]",4,35,shuffle2,"[[0.4 0.6]
 [0.2 0.8]]",0.4,0.2
5,250,300,0.6805555555555556,0.5,0.8333333333333334,"[ 0  2  6  7 13 14 17 19 21 25 29 30 36 38 39  3  4  5  8  9 10 16 18 22
 23 24 27 28 34 35 37 40]","[[3 3]
 [1 5]]",0,32,shuffle2,"[[0.5        0.5       ]
 [0.16666667 0.83333333]]",0.5,0.16666666666666666
6,250,300,0.6111111111111112,0.6666666666666666,0.8333333333333334,"[ 0  2  5 12 13 15 17 20 26 30 33 36 38 39  1  4  6  8 16 18 19 23 24 32
 35 37 40]","[[2 4]
 [1 5]]",1,27,shuffle2,"[[0.33333333 0.66666667]
 [0.16666667 0.83333333]]",0.3333333333333333,0.16666666666666666
7,250,300,0.16000000000000003,0.6,0.4,"[ 0  8 10 12 15 17 19 23 24 25 28 33 36 38 40 41  2  6 13 14 20 22 26 27
 32 35 37 39 42]","[[2 3]
 [3 2]]",2,29,shuffle2,"[[0.4 0.6]
 [0.6 0.4]]",0.4,0.6
8,250,300,0.6799999999999999,1.0,1.0,"[ 0  2  6 11 13 15 16 17 19 22 24 25 29 33 34 37 41  1 10 18 20 21 23 26
 31 32 39 40 42 43]","[[5 0]
 [2 3]]",3,30,shuffle2,"[[1.  0. ]
 [0.4 0.6]]",1.0,0.4
